Date,PeopleInvolved,PersonOfFocus,EventType,EventDescription,OrganizationsInvolved,Location,CommunicationDetails,ClassificationLevel,SourcePage
19 Dec,"Goldsmith; Breckham; Breen, George",,,"Goldsmith said not interviewed and requested interview.; Called Breckham, who will call Goldsmith collect.",,,Communication between Breckham and Goldsmith via phone.,For file:,17
Dec 56 - Apr 64,"BULIK, Joseph J.; BROE, William V.; BRIGHT, William C.",,,Joseph J. Bulik; Resigned; William V. Broe; Interviewed at home,"2425 Panorama Ave., Boulder, Colo. 80302; 111 Indian Trail, North Scituate, Mass. 02060",,Phone number for William V. Broe; (617) 545-6113,Re; CL 158-9,18
,"Christ, also known as Carswell, Dan; Interviewed by Cornwell and Hardway; Chavchavadze, David",,,,"Address; 3801 W. Pl. N.W., Washington, D.C.; Phone; 363-7362; For file:",,,,19
,"Buster-Velez, Charlotte; For file:",,,,,,,,20
Sept 57-apr 64 or Dec 6; Retired in 1977,"Edgerton, Mildred; Mickey Goldsmith, HSCA; Blonde O'Connell",,,,"4415 Volta Place NW, Washington DC 20007",,Mickey Goldsmith called and suggested Blonde O'Connell.; For file:,,21
,"Drury, Alfred C.",,,,"414 East Hewett Ave, Marquette, Michigan 49855",,Telephone; (906) 228-9835,"Marked at the top right; ""Ret""; For file:",22
,"Dooley, Arthur Edward; For file:",,,,,,,,23
,"EGERT, ANNE (BETTY); For file:",,,,,,,,24
1959-62; 1963-64; 29 April 1963,Jerome Fox; Paul Dandler; Daniel Flores,,,,"Bertram Marine, Miami, Florida; Location in Mexico; Address; 6222 W. North Avenue, Chicago, IL",,A message from Jerome Fox to DDO (Deputy Director of Operations) was transmitted on 29 April 1963.; Mention of communication with Mr. Scott.,"STA (standard abbreviation for a station, likely related to intelligence operations).; For file:",25
Retr. mad Dis. - 1974; 3 Aug/78 - N. Dakota - back in 2 weeks; Oct 1950; Sept 1963,"Hidalgo, Balmes N. (Barney); Hicks, Calvin; Alias; Calvin Wilson Pool; Pseudo; Wallace; Helms, Richard",,,Was subpoenaed; Mention of travel to N. Dakota,,,None specified,None specified; For file:,26
,Howard E. Hunt,,,,"Address; 1245 NE 55th St, Miami, Florida 33138; For file:",,,,27
Interview; 22 Aug '58; DC/ISR-9; Dec '61 - Nov 1963; In Tokyo; 11/30/58 & 8/30/63,William Kent (alias Douglas Hupton); Rodham Kenner; Robert M. Keith; Mrs. E.G. Moran,,,Interview conducted on 22 Aug '58,,,Robert M. Keith c/o Mrs. E.G. Moran,None indicated; For file:,28
"Ret, 1972; Sept 56 - June 1960",Grayston Lynch; Frank A. Levy; George Kisevalter,,,None explicitly mentioned.,"Key West Towers, Apt. 411A, S. Roosevelt Blvd, Key West, Fla. 33040; 6504 Smart Drive, McLean, Va. 22101; 1415 Julia Ave, McLean, Va. 22101",,Re; DC/SR-9,None explicitly mentioned.,29
1961; August 1963; 7 April 1978,"McCone, John; Elder, Walt; Matsui, Tom; Mason, Hope I",,,,Tokyo; California,,,For file:,30
Resigned 1964; In Tokyo 1960 - October 1963,"Miler (Scotty) Newton; McPhee, Raymond; McMillan, Priscilla Johnson",,,McPhee was in Tokyo from 1960 to October 1963,"Star Route, Box 344, Placitas, New Mexico 87043; 6003 Big Oak Road, Yardley, Pennsylvania; Tokyo",,McMillan communicated with their own attorney during the interview,None noted; For file:,31
,George Munro; No additional information available.; For file:,,,,,,,,32
,"Niesciur, Dan",,,Interviewed and deposed,,,,,33
In Tokyo; 6/11/66 to 11/24/63; Interviewed,"Orr, Howard; Oriti, Robert (Bob); O'Connell, Blanche",,,,"Tokyo; 8405 Wellcare Ave, McLean, VA 22101; 51 Heard St, Warrenton, VA 22186",,,For file:,34
24 Mar 78 - 1400 hrs,Jack Randall; Frederick Randall; Luis D. Puckett,,,Interview on 24 Mar 78,"440 Bird Key Drive, Sarasota, Florida 33577; 3508 Frederick Place, Kensington, Md. 20795",,N/A,N/A; For file:,35
Oct 60  Aug 62,"Rocca, Raymond; Richardson, Jacques; Thomas P. Cassasin",,,Richardson residing in Paris; Paris Station can contact but HSCA has not requested it,"Falls Church, VA; Paris; HSCA",,Richardson known to HSCA; Paris Station potential contact method,Not specified; For file:,36
Nov 1956 - Jan 1964,,,,,,,,,37
Interview; 21 Dec 78; Tokyo; 4/10/52 - 8/2/64,"Sliwicki, Robert; Sato, Hayami; Zambernardi, Robert",,,,"Washington D.C.; Honolulu, Hawaii; Tokyo; Mexico; For file:",,,,38
Resigned 9-17-65; Interview 27 Mar 1960,"Tyler, Royall; Tovar, Hugh; Swider, Raymond",,,Royall Tyler resigned on 9-17-65.,"Columbia (mentioned as ""To attend Columbia""); Address; 3229 Cambridge Ave, Apt 6K, N.Y., N.Y.",,None noted.,None noted.; For file:,39
Interviewed 13 Apr 78,"Wheeler, Robert (Pete); Watanabe, Kazuo; Watanabe, Doris",,,,"4600 Millwood Rd, Bethesda, Md 20034; Tokyo; 5007 Bristow Dr, Annandale, Va 22003",,,For file:,40
,"Wilsted, David; Whitten, Jack",,,,Mexico; Austria,,Contact via Station,For file:,41
,Allen P. White,,,,"Address; 4100 Downing St, Annandale, Va 22003; Washington",,Interviewed in Washington; For file:,,42
Date; 30 March 1977,Susan Wilkins; Tom Braniff; Shepanek,,,Susan Wilkins will review the subject files and call Tom Braniff in contact personnel.,SA/DO/O,,A written note for communication with Susan Wilkins and Tom Braniff.,"Classified as ""CONFIDENTIAL"" and ""SECRET.""; For file:",43
6 May 1973,"No names directly mentioned, reference to a ""Cuban Exile Journalist.""",,,Media inquiry into Cuban involvement in Watergate and attitudes in Miami area.,Miami,,Memo directed to the Deputy Director for Operations.,"Classified as ""SECRET""; For file:",44
1975; 2006 complete; 2006 repeated; 2007; 2008; 2020 complete; 2023; 2024; 2025,,,,,Monterrey,,,2025 Release Under the President John F. Kennedy Assassination Records Act of 1992; For file:,45
1975; 2006; 2007; 2008; 2020; 2023; 2024; 2025,,,,,HM4A; Monterrey,,,2025 Release Under the President John F. Kennedy Assassination Records Act of 1992; For file:,46
,Emil Hradecky; Ludvik Huen; Frantisek Heizl; Adam Scharf; Arsenio Hinsal Marroquin; Juan Antonio Candela Gomez; Judith Ferrero Segura; Augustin Gutirrez Fernndez,,,Return of Emil Hradecky; Departure of an individual named as SDS; Recruitment of Dr. Arsenio Hinsal Marroquin; Transmission of photographs of Mexican Communists; Assessments and operational activities involving named individuals,Reference to Czech individuals; Central America; Mexico; Guatemala,,"Transmittal activities involving recipients labeled ""FIO"" and ""FIELD""","Document marked ""S-E-C-R-E-T""; For file:",47
3/10/65,Jaroslav Kuchvalek,,,,Operational references (context unclear),,,For file:,48
05/17/63; 21/11/63,Woodrow G. Gabbott,,,,Colorado River Salinity Issue,,,For file:,49
,,,,,,,,"Exempt from general declassification under E.O. 11652, exemption category; 5B(1), (2), and/or (3).; Automatically declassified on ""Date Impossible to Determine.""; Warning notice about sensitive intelligence sources and methods involved.; Marked as ""NO FOREIGN DISSEM/NO DISSEM ABROAD SECRET.""; For file:",50
Document mentions a memo dated 27 Nov 61.; Classification review conducted on 6-10-76.,None available.,,,None available.,C/SB Div; C/FE; C/WOMUSE/ICG,,Distribution includes,"Marked as ""CS COPY.""; Contains a classification review box.; For file:",51
270553Z MAY 78,,,,,Hong Kong,,,SECRET; For file:,52
"September 1961; Dec. 1, unspecified year","Daniel L. Carswell (Alias); Eugene H. Roberts (Alias); Edward R. Tersansky (Alias); Major Billy B. Cambell, Commander",,,Release and contingent plans for personnel detained by Cuban authorities.; Planning for potential releases with little notice from various locations.,,,The document does not specify communications or relationships.,"Redactions appear, possible classified information status not clearly stated.; For file:",53
,,,,Furnishing a C-54 aircraft in standby capacity.; Preparing mission folders for flights from ports of entry.,"Locations; Boston, Los Angeles, Havana, Mexico City, Andrews Air Force Base.",,,For file:,54
03/30; Nov 78; 291533Z NOV 78,,,,,ADV C/LA; C/OG/DMS; C/EPS/EG-2,,"ACTION; C/LA- , 475; INFO; CI","SECRET; Redacted; FRP, File CI, Precedence; For file:",55
161246Z May 78,,,,"Mention of awareness of ""sources and methods"" position and lack of persuasion that the line is being held.",,,,Reference to file number; 008-002-009/3; Classification mention; E2 IMPDET; For file:,56
2701Z May 78,Representative Louis Stokes,,,The House Select Committee on Assassinations (HSCA) has been interviewing retirees and ex-employees.,House Select Committee on Assassinations (HSCA); WWSB Luxembourg,,"Message directed to ""PRIORITY WWSB LUXEMBOURG.""","Document marked as ""SECRET""; For file:",57
,Chairman Stokes,,,Development of guidelines for handling HSCA requests.; Intention to send staff members to interview individuals in the field.,HSCA (House Select Committee on Assassinations),,Collaboration with Chairman Stokes to develop guidelines.,"Document marked as ""Secret""; Redacted section number ""05822""; For file:",58
,"Lic. Esteban Ruiz Ponce, Lic. Joaquin Cisneros",,,Obtaining time on commercial TV and radio; continued cultivation of relationships,Secretary of the President of Mexico,,Investigation of TV and radio time; cultivation of relationships associated with Mexican government officials,(IDEN B) appears to be a redacted identification marker; For file:,59
Born 11 July 1910; Born 11 January 1931,"Elias de Vormoso; Luis de Armas; Cecilia (sister-in-law of Luis de Armas); Oscar Marin Delgado aka ""Lopez""; Raul Garcia; Roger Kelly; Freddie Mayet; Perez Palladinez",,,Jesus Villafres Gonzalez is now defected.,"Calle 24 705, Miramar, Havana, Cuba; Department of Public Works; 401 E. 1st Ave., Hialeah, Fla; Trinidad, Cuba; Cienfuegos, Cuba",,Sister-in-law connection between Cecilia and Luis de Armas,SECRET; For file:,60
"6th August, 1961",,,,,Source; Israeli Liaison,,,SECRET; For file:,61
"6th August, 1961",,,,,,,,SECRET; For file:,62
Received with June 19,Cherne (Rpt Cherne); Rose; Acon (Rpt Acon); Leo Cherne,,,Meeting with Cherne was completely successful.; Rose will submit additional background information on Acon when back in Washington.; Suggestion for Acon to mention being offered a job with the Research Institute of America.,Research Institute of America; Washington; ECA (Rpt ICA),,To Ashcraft or Travis from Lea; Communication marked as secret.,"Marked as ""Secret"" and ""Sensitive""; For file:; ```markdown",63
,"Mr. Edvard A. Rose; Mr. Aeon (background in International Economic Relations, speaks multiple languages); Mr. Leo Cherne",,,"Mr. Aeon hired by the Research Institute of America to do economic research and writing on Western Europe for their; newsletter.; Mr. Aeon's hiring may be delayed, and Mr. Leo Cherne will be informed when the story is to be used.",Research Institute of America; University of Chicago (Mr. Aeon's academic background),,Memo directed to Mr. Edvard A. Rose; Indication that Mr. Aeon will contact Mr. Leo Cherne,"Document marked as ""SECRET""; ```; For file:",64
4 March 1954; Reference to 3 March; Scheduled for 8 March,Ashcraft; Connor; Coleman,,,Connor will be in the office on 8 March for an appointment.,New York,,To LEA for Connor from Ashcraft by Support (Coleman),"Document marked as ""SECRET""; For file:",65
3 March 1954; 8 March 1954; Document date; 4 March 1954,Mr. Coleman; Leo Cherne; Mr. Ormond,,,Mr. Coleman was requested to arrange a meeting for Mr. Cherne regarding a Category III meeting.; Appointment arranged for Mr. Coleman at 3; 00 PM on 8 March 1954.; Mr. Ormond was to arrive at the New York OO/C office between 2; 00 - 2; 15 PM.,Research Institute of America,,Mr. Coleman communicated by Mr. Ormond.; Introduction to be made with Bob Dean.,Document marked as 'SECRET'; For file:,66
2 February 1956; 26 January 1956,Mr. Millard; Mr. Robert McCann,,,"Mr. Millard, together with Mr. Robert McCann, conducted an interaction on 26 January 1956.",Research Institute of America; New York OO/C Office,,"Memorandum for the Chief, Contact Division, OO","Document is marked as ""SECRET""; For file:",67
,,,,,,,"The letter mentions that it is a draft prepared to formalize an understanding and make it a matter of record, indicating; recent communication between the parties.","The document is labeled ""DRAFT.""; For file:",68
2 February 1956,Mr. Robert McCown,,,,New York OO/C Office; Research Institute of America,,,SECRET; For file:,69
2 February 1956,Mr. Travis; Millard,,,Confirming verbal concurrence given by Mr. Travis.,"Research Institute of America; Chief, Contact Division, OO",,"Memorandum for Chief, Contact Division, OO",SECRET; For file:; ```plaintext,70
"5 March 1956; Reference to ""last week""",Raymond Millard; Leo Cherne; Charles A. Lis; R.W. McCannar,,,Mistakenly advised Mr. Raymond Millard regarding forwarding a letter.; Mention of a letter dispatched by Leo Cherne.; Reference to WA 0350 and retaining a copy instead of forwarding.,United States Government; New York Office,,"Communication between Chief, New York Office, and Chief, Contact Division.; Interaction involving Support (Travis).",Redaction of some content in paragraph one.; ```; For file:; ```plaintext,71
20 Feb 51,Millard; Mr. Ardleigh; Mrs. Helen B. Hodgetts (Mrs. Emmons); R. S. Travis,,,Millard advises about the name of the sister who met Mr. Ardleigh.; Biographic data on Ardleigh received.; Initiating security clearance on him.,Washington; New York,,From Support (Travis),,72
,,,,,Agency; CIA,,,Record Number; 104-10071-10021; Record Series; JFK; Agency File Number; 80T01357A; For file:; ```plaintext,73
,Mr. Hunt; Mr. Smyth; Mr. Smith,,,Request for information to be evaluated and provided with as much detail as possible.,,,"Memo mentions communication with various figures (Mr. Hunt, Mr. Smyth, Mr. Smith) through drafts and phone calls.","Document marked as ""SECRET.""; Reference number 92664 noted.; ```; For file:",74
,Jomo Logan.; For file:,,,,,,,,75
22 April 1968,Richard Ober,,,Priority; No Night Action,"Locations; Asuncion, Bangkok, Barcelona, Beirut, Berlin, Bern, Brasilia, Brussels, Buenos Aires, Caracas, Copenhagen, Frankfurt,; Geneva, Georgetown, Guatemala City, Guayaquil, The Hague, Hamburg, Helsinki, Hong Kong, Kingston, La Paz, Lima,; London, Madrid, Managua, Montevideo, New Delhi, Lisbon, Manila, Munich, Oslo, Panama City, Paris, Port of Spain,; Porto Alegre, Quito, Recife, Rawalpindi, Rio de Janeiro, Rome, San Jose, Santo Domingo, San Salvador, Santiago, Santiago; de los Caballeros, Sao Paulo, Stockholm, Tegucigalpa, Tokyo, Vienna, Zurich",,,"Marked as ""SECRET"" and ""Desensitized""; For file:",76
Date of report; 1 February 1956,Stefan R. Louberg (report made and approved by),,,None extracted.,"From; Costa Rica; Distribution; Washington, Guatemala, Mexico, San Salvador, Embassies",,None extracted.,"Classified as ""Secret""; Cryptonym redacted; For file:",77
,Col. Ernesto (last name redacted); Guatemalan President Carlos Castillo Armas; Wiederheitmann,,,Planned revolt discovered and destroyed by the Guatemalan government,Guatemalan government,,,For file:,78
2025; 1992,John F. Kennedy,,,Release under the President John F. Kennedy Assassination Records Act,,,,Specific classification about release status (No explicit classification level given); For file:,79
"March 18, 1967",,,,,"Commodore Hotel, Room 1263; General Assembly of the United Nations; Delegates Lounge, United Nations; Secretariat building of the United Nations; Embassy House, 310 East 47th Street; U.S. Mission to the United Nations; Cuban Mission to the United Nations; Afro-Asian Latin American Peoples Solidarity Organization (AALAPSO); Latin American Solidarity Organization (LASO)",,,Secret; Desensitized; For file:,80
19 May 63; 14 May 63,,,,"FARJAS was formerly with the Cuban Embassy.; FARJAS expected to arrive from one day to the next.; MAIZ mentioned FARJAS was associating with various individuals.; Cuban plan to conduct a full body search of FARJAS upon leaving Cuba.; Joe FERNANDEZ de Rosa mentioned traveling to Mexico with a group in 1959.; Amb MASSIP was in Mexico at the time.; Robeto GOMEZ expected return on 14 May 63.; Ovieto SANCHEZ had difficulty with ""twists"" and a smuggler.; Ramon SICHODA's wife gave birth to a baby boy.; VEGA Perez mentioned HERNANDEZ.",Cuban Embassy; Orteinte (Ant. Jose PORTUONDO); Mexico; Habana; Paris,,Reports made by individuals denoted as [L-9].,"Classified as ""SECRET.""; For file:",81
As of about 1800 hours on 17 November,Israel Padilla,,,A young man who had infiltrated into Cuba and was hiding at the home of Israel Padilla.,Cuba,,,```; For file:,82
Memo dated 27 Nov 67; Classification review conducted on 16-10-76,Mark J. Lidgerwool,,,,CIA (Central Intelligence Agency); C/SB Division; C/FE (could indicate Foreign Exchange); C/WOMUSE/ICG,,,"Background Use Only; Do Not Reproduce; (Note; No references to specific events, communications, or investigative details are visible in the provided image.)",83
Reference; A - WAVE 8064 (IN 66850); Reference; O - WAVE 8071 (IN 66867); Reference; C - WAVE 8072 (IN 66868); Reference; D - WAVE 8074 (IN 66883); Reference; E - WAVE R125 (IN 67242); Reference; F - WAVE R196 (IN 67216); Reference; P - WAVE 8126 (IN 67381),Teodoro; Arle; Anibal; Doctor Jimenez; Pancho Villa; David; Miguel Suarez Hernandez,,,Teodoro is in charge of vigilance of certain individuals.; Arle is in charge of a van related to Anibal.; Doctor Jimenez is responsible for intelligence regarding an individual called Karat One.,Boca Del Golaifre,,,"Document marked as ""SECRET"".; ```; For file:",84
03/06/2,Ruben; Jose; Mario; Baron; Tamayo Munoz,,,"Ruben recommends Jose, noted for military experience and expertise with weapons and explosives.",No specific organizations or locations identified.,,"A message containing recommendations and discussions involving Ruben, Jose, Baron, and Mario.","Document marked as ""SECRET.""; For file:",85
,,,,,Harlem Section; Extension of Peralta 36; For file:; ```plaintext,,,,86
"September 16, 1919 (birth date mentioned)","Roberto; Teresa; Ines Feria; Rene; Felipe, Coln",,,"A person named Ines Feria had two children.; Rene, mentioned as trying to investigate schools attended.",Acuas Claras and Unas Highways Junction; Victoria; Puerto Padre; Sears (mentioned in context with commercial and banking firms),,Message 36 and message 37 received.; Communication with Rene in Victoria.,Classified message.; ```,87
22 NOV 63; 1 AUG 1957,WelDrake; Albert Abellan Otero,,,WelDrake's comments requested on the subject of reference A.; Albert Abellan Otero offered services to HUBARK and contacted with CAS Spain.,HQS; MADR (possibly Madrid),,HQS requests WelDrake's comments on subject A.,"Classified as ""SECRET""; Contains redacted information.; For file:",88
26 November 1963; 3 September 63,Alejandro Romulo Amezcua,,,,JMWAVE; SAS; HQS,,Message sent from ODACID to HEFWICH.,Some sections appear partially redacted or illegible.; For file:,89
4 Dec 63,Mr. Joseph F. Pearson,,,Cleared for Type A contract employment,SAS/Personnel; JMWAVE,,Ref; WAVE-8461,Secret; Redactions present,90
5 December 63,Roy W. Forslund,,,,SAS; DOP,,,Secret classification; For file:,91
,Bruce B. Cheever; Orville C. Dawson,,,"Request for priority amendment to permit the use of a subject area designated as ""WAVE"" for maritime purposes.",SAS/COMMENT (Section or agency involved); WAVE (Subject area),,,"Document marked as ""SECRET""; Group 1 Excluded from automatic downgrading and declassification.; For file:",92
,,,,,,,,Item is restricted.; Document code; 104-10078-10014.; For file:,93
14 DEC. 63; RELEASE AS SANITIZED 1998,A. SHATTON,,,Not specified.,SAS/EOB; CIA Historical Review Program,,From; DIRECTOR; To; [16-27],Classified Message; Original Classification; SECRET; Sections appear redacted.; For file:,94
,,,,,,,,[R] - ITEM IS RESTRICTED; For file:,95
14 DEC. 63,A. Shatton,,,,CIA; SAS/20B; So Paulo; Rio de Janeiro; JMWAVE,,,Secret; For file:,96
,William Seymour; Frank Sturgis (Fiorini); For file:,,,,,,,,97
,,,,,,,,,98
5 Jan; 6 Jan 78,Lee Harvey Oswald et al; Marina Oswald et al; Rima Shirakova; Louis Hopkins; George DeMohrenschildt; Marilyn Dorothy Murret; Harold Isaacs; John A. McVickar; Leo Cherne; John E. Donovan; Dr. Rex J. Howard; Dr. Rex Z. Howard; Bernardo DeTorres; Mrs. Hal Davison,,,Blakey Request; 38 items,International Rescue Committee (IRC); 1958-63 travelers to USSR; Anti-Castro groups,,"Bartenay Memo to Oke, King & Ray",None indicated in this extract.,99
1977,,,,,CIA,,,,100
9 Mar 78; Oct-Nov 1963; 13 Mar 78,Blakey; Earl Anglin James,,,Blakey Request; List of Documents prior to opening LHO 201; Dispatches To/From Mexico,CIA,,Blakey Request related to documents and dispatches,None noted; For file:,101
15 Mar 78,Gabrielson,,,Memo re HSCA Follow-up Request,HSCA (House Select Committee on Assassinations),,Memo,For file:,102
21 Mar 78; 22 Mar 78,William Krulewitz aka William Kroll; Santiago Alvarez Rodriguez; Santiago Alvarez Fernandez; Laureano Batista Falla; Orlando Bosch Avila; Reinaldo Pico; Duney Perez Alamo; Orest Pea; Rolando Pelaez,,,Blakey Request for names on 22 Mar 78,Mexico City,,Reference to NBC program/Bach Revelations,For file:; ```plaintext,103
23 Mar 78; 11/22/63,Stokes; Blakey,,,CIA Letter to Stokes regarding Secrecy Agreements; Blakey Requests information regarding Cubana Airlines flight on 11/22/63,CIA; Cubana Airlines,,CIA sent a letter to Stokes; Blakey made requests concerning Cubana Airlines,; ```; For file:,104
25 Mar 78,Oswald; Gabrielson,,,"News article regarding secrecy atmosphere of HSCA investigation.; News article suggesting ""Oswald Link to CIA"" at inquiry.; Congressional Record, REPORT of the Select Committee.; Gabrielson Memo to SA/DO/O summing up HSCA Activity.",HSCA (House Select Committee on Assassinations); CIA,,Gabrielson communicated to SA/DO/O via memo.,For file:,105
28 Mar 78; 29 Mar 78,Herman Milton Greenspun; Gordon McLendon; Frederick Stephen Patrick O'Sullivan; Reference to Nosenko,,,Blakey requests information or action regarding individuals and files.; Review of DDO Files on Nosenko requested.,Permindex Corporation,,Blakey's requests indicate communication with or about various entities and individuals.,For file:,106
5 Apr 78,LHO (likely an abbreviation for a person),,,C/CI Memo to OLC regarding documents on LHO released under the FOIA.,C/CI; OLC; FOIA,,Memo from C/CI to OLC,For file:,107
"Various dates from 1978, spanning from March to July.","Names/Aliases; Cobb, Priesbeck, Ammann, McDonald, Kimsey, Baker, Newton, Miller, Davidson, Gibson, White, Hunt, Permindex,; McLendon, Brown, Murray, Lynch, Moore, Looney, Wilcott, Tanseer, A.W.C., Bishop.",,,"Requests and replies (memos) recorded, many with positive or negative outcomes.",Mention of Collins Radio and Watergate.,,"Notable use of memos and requests, with numbered positions indicating correspondence.",None specified.; For file:,108
31 July 1964,Blakey,,,,,,,Appears to contain redacted information indicated by 'XXXX'.; For file:,109
9 November 1977; 8 December 1977; 24 February 1964,Names are not clearly provided; references to roles or aliases include HSCA and C/CI.,,,HSCA requested information on 9 November 1977.; C/CI memo to OLC regarding the request on 8 December 1977.,CIA; HSCA; OLC,,C/CI communicated with OLC through a memo on 8 December 1977.,"OLC 77-4894, CI 632-77, Holmes; For file:",110
"December 22, 1977; November 22, 1963; January 20, 1978",Dan Carswell; Posada; Diosdado; Phillips; Conein,,,"HSCA request for access to files or documents referring to Dan Carswell.; Dan Carswell reported to have been in Dallas on November 22, 1963.; CCS memo to SA/DO/O regarding information on individuals.",,,"Memo from CCS (Latta) to SA/DO/O on January 20, 1978.",Reference to OLC 77-5685/4.; For file:,111
31 Jan 78; 23 Feb 78,Botenau (handwriting may affect exact spelling),,,A memo dated 31 Jan 78.; A file forwarded on 23 Feb 78 to SA/DO/O.,DCD (Document Control Division implied by context).,,One memo and a file forwarding action mentioned.,Not specified.; For file:,112
28 December 1977; 20 January 1978; 31 January 1978,,,,HSCA request for access to files or documents.; CCS memo regarding information on individuals.,HSCA (House Select Committee on Assassinations); CIA; DEA (Drug Enforcement Administration); CCS (Central Cover Staff),,Memo from CCS to SA/DO/O.; Communication regarding Conein's request.,Document mentions Privacy Act.; For file:,113
2 December 1977,,,,,HSCA (House Select Committee on Assassinations),,,Reference; OLC 77-5685/4; For file:,114
,,,,HSCA Request for access to files or documents.,HSCA (House Select Committee on Assassinations),,,Reference number; OLC 77-5685/4; For file:,115
,,,,,DEA in California.; For file:,,,,116
20 Jan 78; 31 Jan 78,Carswell; Posada; Diosdado; Phillips; Conein,,,Memo from CCS (Latta) to SA/DO/O regarding files on specific individuals.; Files contain forms and memoranda concerning administration of cover.,,,CCS files communicated to SA/DO/O.; Mention of a memo for further details.,No specific classification levels or redactions noted in the provided section.; For file:,117
9 November 1977,,,,,HSCA (House Select Committee on Assassinations); OLC (Office of Legal Counsel),,,For file:,118
December 5 (date mentioned for an oral confirmation),,,,Request for access to a 57-volume collection of files.,,,Confirmation of a previous oral request.,; For file:,119
6 Jan 78,LHO,,,,HSCA,,,Redaction (LHO detail); For file:,120
22 December 1977,David Atlee Phillips,,,,HSCA (House Select Committee on Assassinations); Former CIA employee; Cuban desk in the U.S. Embassy,,No specific communications detailed.,Featuring document number (OLC 77-5685/1); For file:,121
20 Jan 78,Carswell; Posada; Diosdado; Phillips; Conein,,,CCS files contain forms and memoranda concerning administration of cover exclusively.,CCS (Counterintelligence Corps); HSCA (House Select Committee on Assassinations),,Memo to SA/DO/O mentioning details about five individuals.,,122
9 November 1977,,,,,HSCA (House Select Committee on Assassinations),,,For file:,123
